Domains,Department 
aaadnc-aandc.gc.ca,AANDC/AANDC
aadnc.gc.ca,AANDC/AANDC
aadnc-aadc.gc.ca,AANDC/AANDC
aadnc-aandc,AANDC/AANDC
aadnc-aandc.gc.ac,AANDC/AANDC
aadnc-aandc.gc.ca,AANDC/AANDC
aandc.aadnc.gc.ca,AANDC/AANDC
aandc.gc.ca,AANDC/AANDC
aandc-aadnc.gc.ca,AANDC/AANDC
aandc-aadrc.gc.ca,AANDC/AANDC
aandc-aandc.gc.ca,AANDC/AANDC
adnc-aandc.gc.ca,AANDC/AANDC
ainc.gc.ca,AANDC/AANDC
ainc-inac.gc.ca,AANDC/AANDC
aino-inac.gc.ca,AANDC/AANDC
inac.ainc.gc.ca,AANDC/AANDC
inac.gc.ca,AANDC/AANDC
inac-ainc.gc.ca,AANDC/AANDC
inac-anic.gc.ca,AANDC/AANDC
acoa.apeca.gc.ca,ACOA/APECA
acoa.gc.ca,ACOA/APECA
acoa-apeca.gc.ca,ACOA/APECA
apeca-acoa.gc.ca,ACOA/APECA
aecl.ca,AECL/EACL
afc-cfa.gc.ca,AFC/CFA
AAFC.gc.ca,AAFC/AAC
agc.gc.ca,AAFC/AAC
agr.ga.ca,AAFC/AAC
agr.gc.ca,AAFC/AAC
grainscanada.gc.ca,AAFC/AAC
atlanticpilotage.com,APA
apex.gc.ca,APEX
apl.gc.ca,PLA/APL
bdc.ca,BDB/BDC
bank-banque-canada.ca,BOB/BDC
bankofcanada.ca,BOB/BDC
banqueducanada.ca,BOB/BDC
capprt.gc.ca,CAPPRT/TCRPAP
capprt-tcrpap.gc.ca,CAPPRT/TCRPAP
cart-crac.gc.ca,CART
cas.satj.gc.ca,CAS/SATJ
cas-satj.gc.ca,CAS/SATJ
catsa.gc.ca,CATSA/ACSTA
catsa-acsta.gc.ca,CATSA/ACSTA
asfc.cbsa.gc.ca,CBSA/ASFC
asfc.gc.ca,CBSA/ASFC
asfc-cbsa.gc.ca,CBSA/ASFC
cbas.gc.ca,CBSA/ASFC
cbas-asfc.gc.ca,CBSA/ASFC
cbsa.gc.ca,CBSA/ASFC
cbsa-afsc.gc.ca,CBSA/ASFC
cbsa-asfc.gc.ca,CBSA/ASFC
cbsa-asfc.gc.ca.,CBSA/ASFC
cbsa-asgc.gc.ca,CBSA/ASFC
cbsa-safc.gc.ca,CBSA/ASFC
cgsa-asfc.gc.ca,CBSA/ASFC
canadacouncil.ca,CCA/CAC
canadcouncil.ca,CCA/CAC
ccc.ca,CCC
cco-bcc.gc.ca,CCO/BCC
ccohs.ca,CCOHS/CCHST
cdc-ccl.gc.ca,CDC/CCL
cdic.ca,CDIC/SADC
acee.gc.ca,CEAA/ACEE
ceaa.gc.ca,CEAA/ACEE
ceaa-acee.gc.ca,CEAA/ACEE
ced-dec.gc.ca,CED/DEC/DEC
dec-ced.gc.ca,CED/DEC/DEC
cfgb.gc.ca,CFGB/CGFC
cfgb-cgfc.gc.ca,CFGB/CGFC
inpsection.gc.ca,CFIA/ACIA
inspection.gc.ca,CFIA/ACIA
cgc.ca,CGC
grainscanada.ca,CGC/CCG
chrc.ccdp.gc.ca,CHRC/CCDP
chrc-ccdp.ca,CHRC/CCDP
chrc-ccdp.gc.ca,CHRC/CCDP
chrc-cddp.gc.ca,CHRC/CCDP
chrt-tcdp.gc.ca,CHRT/TCDP
cic.gc.ca,CIC
scic.gc.ca,CICS/SCIC
scics.gc.ca,CICS/SCIC
acdi-cida.gc.ca,CIDA/ACDI
cida-acdi.gc.ca,CIDA/ACDI
cihr.ca,CIHR/IRSC
cihr.gc.ca,CIHR/IRSC
cihr-irsc.gc.ca,CIHR/IRSC
irsc.gc.ca,CIHR/IRSC
irsc-cihr.gc.ca,CIHR/IRSC
cirb-ccri.gc.ca,CIRB/CISR/IRSC
citt-tcce.gc.ca,CITT/TCCE
tcce-citt.gc.ca,CITT/TCCE
clc.ca,CLC
civilisations.ca,CMC
civilization.ca,CMC
alain.bolduc,CMHC/SCHL
cmhc.ca,CMHC/SCHL
cmhc.gc.ca,CMHC/SCHL
cmhc-schl.c.ca,CMHC/SCHL
cmhc-schl.gc.ca,CMHC/SCHL
schl.gc.ca,CMHC/SCHL
Cannor.gc.ca,CED/DEC
cnsc.gc.ca,CNSC/CCSN
cnsc-ccsn.gc.ca,CNSC/CCSN
cpc-cpp.gc.ca,CPC/CPP
polarcom.gc.ca,CPM/CCAP
cpsa.gc.ca,CPSA
cpsa-afpc.gc.ca,CPSA
arc.gc.ca,CRA/ARC
arc-cra.gc.ca,CRA/ARC
car-arc.gc.ca,CRA/ARC
ccra-adrc.gc.ca,CRA/ARC
cra.arc.gc.ca,CRA/ARC
cra.gc.ca,CRA/ARC
cra.gov.ca,CRA/ARC
cra-arc.ca,CRA/ARC
cra-arc.gc.ca,CRA/ARC
cra-arc-gc.ca,CRA/ARC
cra-ardrc.gc.ca,CRA/ARC
cra-gc.ca,CRA/ARC
cra-grc.gc.ca,CRA/ARC
crc.ca,CRCC
crc.gc.ca,CRCC
crtc.gc.ca,CRTC
asc.csa.gc.ca,CSA/ASC
asc-csa,CSA/ASC
asc-csa.gc.ca,CSA/ASC
csa-asc.gc.ca,CSA/ASC
space.gc.ca,CSA/ASC
csc.gc.ca,CSC/SCC
csc.scc.gc.ca,CSC/SCC
csc.scc.gv.ca,CSC/SCC
csc-scc.gc.ca,CSC/SCC
csc-scs.gc.ca,CSC/SCC
csc-ssc.gc.ca,CSC/SCC
scc-csc.ca,CSC/SCC
scc-csc.gc.ca,CSC/SCC
scs-scc.gc.ca,CSC/SCC
westmorlandinstitution.gc.ca,CSC/SCC
willowcreehealinglodge.gc.ca,CSC/SCC
cse.cst.gc.ca,CSE/DND
cse.gc.ca,CSE/DND
cse-cst.gc.ca,CSE/DND
cse-sct.gc.ca,CSE/DND
ADTInstructors,CSPS/EFPC
cspc-efpc.gc.ca,CSPS/EFPC
csps-efpc.gc.ca,CSPS/EFPC
cta-otc.gc.ca,CTA/OTC
otc-cta.gc.ca,CTA/OTC
ctc-cct.ca,CTC/CCT
dcc-cdc.gc.ca,DCC/CDC
deo-wd.gc.ca,DEO/WD
dfait-maeci.gc.ca,DFAITD/MAECD
international.gac.ca,DFAITD/MAECD
international.gc.ca,DFAITD/MAECD
bi.gc.ca,DFO/MPO
dfo.gc.ca,DFO/MPO
dfo.mpo.gc.ca,DFO/MPO
dfo-mpo.c.ca,DFO/MPO
dfo-mpo.gc.ca,DFO/MPO
dfo-mpo-gc.ca,DFO/MPO
mar.dfo-mpo.gc.ca,DFO/MPO
XMARLoop,DFO/MPO
404 Sqn FE,DND/DDN
435sqn.gc.ca,DND/DDN
442Sqn.gc.ca,DND/DDN
dnd.ga.ca,DND/DDN
dnd.gc.ca,DND/DDN
drdc-rddc.gc.ca,DND/DDN
force.gc.ca,DND/DDN
forcers.gc.ca,DND/DDN
forces.ca,DND/DDN
forces.gc.a,DND/DDN
forces.gc.ca,DND/DDN
intern.mil.ca,DND/DDN
mgerc.gc.ca,DND/DDN
mgerc-ceegm.gc.ca,DND/DDN
rmc.ca,RMC/CMR
rmcc-cmrc.ca,RMC/CMR
ec.gc.ca,EC
gc.ec.ca,EC
ecbc-secb.gc.ca,ECBC/SECB
ecbc.secb.gc.ca,ECBC/SECB
edc.ca,EDC
elections.ca,ELECTIONS
elections.gc.ca,ELECTIONS
erc-cee.gc.ca,ERC/CEE
federalbridge.ca,FBCL
pontsfederaux.ca,FBCL
telefilm.ca,FCA/AFC
telefilm.gc.ca,FCA/AFC
acfc.gc.ca,FCAC/ACFC
fcac.gc.ca,FCAC/ACFC
fcac-acfc.gc.ca,FCAC/ACFC
fct-cf.gc.ca,FCT-CT
feddevontario.gc.ca,FEDDEVONT
fin.gc.ca,FIN
fintrac.gc.ca,FIN
fintrac-canafe.gc.ca,FIN
fja.gc.ca,FJA/CMF
fja-cmf.gc.ca,FJA/CMF
judicom.gc.ca,FJA/CMF
gg.ca,GG
nature.ca,HC/PC
ahrc-pac.gc.ca,HC/SC
hc.gc.ca,HC/SC
hc_sc.gc.ca,HC/SC
hc-sc.gc.a,HC/SC
hc-sc.gc.ca,HC/SC
hc-sdc.gc.ca,HC/SC
hs-sc.gc.ca,HC/SC
hv-sc.gc.ca,HC/SC
sc-hc.gc.ca,HC/SC
hmirc-ccrmd.gc.ca,HMIRC/CCRMD
hrdc-rhdcc.gc.ca,HRSDC/RHDSC
hrdsc-rhdsc.gc.ca,HRSDC/RHDSC
hrsdc.rhdcc.gc.ca,HRSDC/RHDSC
hrsdc.rhdsc.gc.ca,HRSDC/RHDSC
hrsdc-drhcc.gc.ca,HRSDC/RHDSC
hrsdc-drhsc.gc.ca,HRSDC/RHDSC
hrsdc-rehdsc.gc.ca,HRSDC/RHDSC
hrsdc-rhdc.gc.ca,HRSDC/RHDSC
hrsdc-rhdcc.gc.ca,HRSDC/RHDSC
hrsdc-rhdcc.gc.ga,HRSDC/RHDSC
hrsdc-rhdcs.gc.ca,HRSDC/RHDSC
hrsdc-rhdsc,HRSDC/RHDSC
hrsdc-rhdsc.gc.ca,HRSDC/RHDSC
hrsdc-rhsdc.gc.ca,HRSDC/RHDSC
labour-travail.gc.ca,HRSDC/RHDSC
rhdcc-hrsdc.gc.ca,HRSDC/RHDSC
rhsdc-hrsdc.gc.ca,HRSDC/RHDSC
service.gc.ca,HRSDC/RHDSC
servicecanada.gc.ca,HRSDC/RHDSC
servicecanada.gc.ga,HRSDC/RHDSC
servicecananda.gc.ca,HRSDC/RHDSC
travail-labour.gc.ca,HRSDC/RHDSC
pptc.gc.ca,HRSDC/RHDSC
bc-cb.gc.ca,IC
canadabusiness.ca,IC
cb-bc.gc.ca,IC
cb-cda.gc.ca,IC
cbsc.ic.gc.ca,IC
ic.gc.ca,IC
idrc.ca,IDRC/CRDI
ifms.gc.ca,IFMS
ottawa.ijc.org,IJC/CMI
infc.ca,INFC
infc.gc.ca,INFC
joy.gurr,INFC
cisr-irb.gc.ca,IRB/CISR
irb.gc.ca,IRB/CISR
irb-cisr.gc.ca,IRB/CISR
irsad.gc.ca,IRSAD/SAPI
irsad-sapi.gc.ca,IRSAD/SAPI
irsad-sapi.qc.ca,IRSAD/SAPI
irsas-sapi.gc.ca,IRSAD/SAPI
justice.gc.ca,JUSTICE
bac-lac.gc.ca,LAC/BAC
bac-lac-gc.ca,LAC/BAC
lac-bac.gc.ca,LAC/BAC
ceegm.gc.ca,MGERC/CEEGM
mgerc.gc.ca,MGERC/CEEGM
mgerc.gc.ca,MGERC/CEEGM
mgerc-ceegm.gc.ca,MGERC/CEEGM
mgerc-ceegm.gc.ca,MGERC/CEEGM
Mint.ca,MINT
mpcc-cppm.gc.ca,MPCC/CPPM
nafta-alena.gc.ca,NATFA
mus-nature.ca,NATURE
ccbn-nbc.gc.ca,NBC/CCBN
ncc-ccn.ca,NCC/CCN
ncc-ccn.gc.ca,NCC/CCN
nce-rce.gc.ca,NCE/RCE
neb.gc.ca,NEB/ONE
neb-one.gc.ca,NEB/ONE
nfb.ca,NFB/ONF
nfb-onf.gc.ca,NFB/ONF
onf.ca,NFB/ONF
onf-nfb.gc.ca,NFB/ONF
gallery.ca,NGC/MBAC
njc-cnm.gc.ca,NJC/CNM
imi.cnrc-nrc.gc.ca,NRC/IMI
ccrs.nrcan.gc.ca,NRC/CNRC
cnrc-nrc.gc.ca,NRC/CNRC
nrc.ca,NRC/CNRC
nrc.gc.ca,NRC/CNRC
nrcan.gc.ca,NRCAN/RNCAN
nrcan-rncan.gc.ca,NRCAN/RNCAN
nrc-cnrc.gc.ca,NRCAN/RNCAN
rncan.gc.ca,NRCAN/RNCAN
rncan-nrcan.gc.ca,NRCAN/RNCAN
nrtee-trnee.ca,NRTEE/TRNEE
nrtee-trnee.gc.ca,NRTEE/TRNEE
naserc-crsng.gc.ca,NSERC/CRSNG
nserc.ca,NSERC/CRSNG
NSERC-CRSNG.GC.CA,NSERC/CRSNG
nser-crsng.gc.ca,NSERC/CRSNG
nss.gc.ca,NSS/SNR
nss-snrs.gc.ca,NSS/SNR
oag-bvg.gc.ca,OAG/BVG
bec-oci.gc.ca,OCI/BEC
oci-bec.gc.ca,OCI/BEC
ocl-cal.gc.ca,OCL/CAL
ocol-clo.gc.ca,OCOL/CLO
ocrt-bctr.gc.ca,OCRT/BCTR
ofc-cfo.gc.ca,OFC/CFO
infocom.gc.ca,OIC/CI
oic-ci.ca,OIC/CI
oic-ci.gc.ca,OIC/CI
duncan.stephen,Ombudsman
boa-opo.gc.ca,OPO/BOA
opo-boa.gc.ca,OPO/BOA
osfi-bsif.gc.ca,OFSI/BSIF
oto-boc.gc.ca,OTO/BOC
taxpayersrights.gc.ca,OTO/BOC
ombudsman-veterans.gc.ca,OV/VO
pab-cap.gc.ca,PAB
cie.parl.gc.ca,PARL
parl.gc.ca,PARL
npb-cnlc.gc.ca,PBC/CLCC
PBC-CLCC.gc.ca,PBC/CLCC
PBC-CLCC.GC.CA,PBC/CLCC
pc.gc.ca,PC
pch.gc.ca,PCH
pcmpb-cepmb.gc.ca,PCMPB/CEPMB
pmprb.gc.ca,PCMPB/CEPMB
pmprb-cepmb.gc.ca,PCMPB/CEPMB
bcp.gc.ca,PCO/BCP
bcp-pco.gc.ca,PCO/BCP
bnet.pco.gc.ca,PCO/BCP
bnet.pco-bcp.gc.ca,PCO/BCP
pco.gc.ca,PCO/BCP
pco-bcp.gc.ca,PCO/BCP
pco-bcp.gc.caq,PCO/BCP
phac.aspc.gc.ca,PHAC/ASPC
phac-aspc.gc.ca,PHAC/ASPC
phace-aspc.gc.ca,PHAC/ASPC
horizons.gc.ca,PHC/HPC
pmo-cpm.gc.ca,PMO
ppsc.gc.ca,PPSC/SPPC
ppsc-sppc.gc.ca,PPSC/SPPC
ppsc-spps.gc.ca,PPSC/SPPC
sppc-ppsc.gc.ca,PPSC/SPPC
pri-prp.gc.ca,PRI/PRP
priv.gc.ca,PRIV
privcom.gc.ca,PRIV
duncan.stephen,PS/SP
opscen.gc.ca,PS/SP
ps.gc.ca,PS/SP
ps-sp.gc.ca,PS/SP
sp.gc.ca,PS/SP
sp-ps.gc.ca,PS/SP
cfp-psc.gc.ca,PSC/CFP
cfp-psc.gc.ca,PSC/CFP
psc2-spc2.gc.ca,PSC/CFP
psc-cfp.gc.ca,PSC/CFP
psdpt-tpfd.gc.ca,PSDPT/TPFD
psic-ispc.gc.ca,PSIC/ISPC
pslrb.gc.ca,PSLRB/CRTFP
pslrb-crtfp.gc.ca,PSLRB/CRTFP
psst.gc.ca,PSST/TDFP
psst-tdfp.gc.ca,PSST/TDFP
pwgac.gc.ca,PWGSC/TPSGC
pwgsc.ca,PWGSC/TPSGC
pwgsc.gc.ca,PWGSC/TPSGC
pwgsc.gc.ca.,PWGSC/TPSGC
pwgsc.tpsgc.gc.ca,PWGSC/TPSGC
pwgsc-gc.ca,PWGSC/TPSGC
pwgsc-tpgsc.gc.ca,PWGSC/TPSGC
pwgsc-tpsgc.ca,PWGSC/TPSGC
pwgsc-tpsgc.gc.ca,PWGSC/TPSGC
tpgsc-pwgsc.gc.ca,PWGSC/TPSGC
tpsgc.gc.ca,PWGSC/TPSGC
tpsgc.pwgsc.gc.ca,PWGSC/TPSGC
tpsgc-gc.ca,PWGSC/TPSGC
tpsgc-pwgsc.gc.ca,PWGSC/TPSGC
tpsgc-pwsgc.gc.ca,PWGSC/TPSGC
cfc-cafc.gc.ca,RCMP/GRC
rcmp-grc.gc.ca,RCMP/GRC
rcmp-grc-gc.ca,RCMP/GRC
statca.gc.ca,SC
statcan.ca,SC
statcan.gc.ca,SC
scc-csc.ca,SCC/CSC
rsctc.gtrpc.gc.ca,SCT/TRP
rsctc-gtrpc.gc.ca,SCT/TRP
sct-trp.ca,SCT/TRP
sen.parl.gc.ca,SEN
smtp.gc.ca,CSIS/SCRS
ssopf.gc.ca,SOPF
ou-bja.gc.ca,SSC/SPC
scc-spc.gc.ca,SSC/SPC
spc.gc.ca,SSC/SPC
spc-ssc.gc.ca,SSC/SPC
spc-ssp.gc.ca,SSC/SPC
ssc.gc.ca,SSC/SPC
ssc.spc.gc.ca,SSC/SPC
ssc-scp.gc.ca,SSC/SPC
ssc-spc.ca,SSC/SPC
ssc-spc.gc.ca,SSC/SPC
ssc-spc.gc.ga,SSC/SPC
sshrc.crsh.gc.ca,SSHRC/CRSH
sshrc.gc.ca,SSHRC/CRSH
sshrc-crsh.gc.ca,SSHRC/CRSH
cfc-swc.gc.ca,SWC/CFC
swc-cf.gc.ca,SWC/CFC
swc-cfc.gc.ca,SWC/CFC
tatc.gc.ca,TATC
bst-tsb.gc.ca,TSB/BST
tbs.gc.ca,TBS/SCT
tbs2-sct.gc.ca,TBS/SCT
tbs-sct.gc.a,TBS/SCT
tbs-sct.gc.ca,TBS/SCT
tbs-tbs.gc.ca,TBS/SCT
ct-tc.gc.ca,TC
tc.gc.ca,TC
sct.ga.ca,TSB/BST
tsb.gc.ca,TSB/BST
tsb.sct.ga.ca,TSB/BST
tsb-bst.gc.ca,TSB/BST
vac.acc.gc.ca,VAC/ACC
vac-acc.gc.ca,VAC/ACC
vrab-tacra.gc.ca,VRAB/TACRA
canadabusiness.mb.ca,WD/DEO
deo.gc.ca,WD/DEO
wd.gc.ca,WD/DEO
wd-deo.gc.ca,WD/DEO
warmuseum.ca,CWM/MCG
,
,
,
,Grand Total 
